"Chave","Tipo de item","Pai","Resumo","Status","Responsável","Sprint","Data de início","Data de início inferida","Data limite","Data de entrega inferida","Cor do item","ID temporário","Pai (ref. temporária)"
"","Subtarefa","SCRUM-37","Migration + Model + Factory: Category","A fazer","Luana Matos","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Subtarefa","SCRUM-37","Migration + Model + Factory: New (Notícia)","A fazer","Luana Matos","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Subtarefa","SCRUM-37","Migration + Model + Factory: Testimonial","A fazer","Luana Matos","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Subtarefa","SCRUM-37","Migration + Model + Factory: Newsletter","A fazer","Luana Matos","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Subtarefa","SCRUM-37","Migrations pivot: News_Newsletter, Testimonial_Newsletter","A fazer","Luana Matos","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Subtarefa","SCRUM-37","Migration + Model: Log de auditoria","A fazer","Beatriz Fiochi","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Subtarefa","SCRUM-37","Seeders: categorias base + utilizador admin","A fazer","Luana Matos","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Tarefa","SCRUM-11","Adaptar o fluxo de login do Breeze para exigir role de administrador","A fazer","Beatriz Fiochi","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Tarefa","SCRUM-11","Página de login com a identidade visual do projeto","A fazer","Jéssica Amorim","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Tarefa","SCRUM-18","Endpoint de logout + invalidação de sessão","A fazer","Beatriz Fiochi","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Tarefa","SCRUM-18","Ação de logout no layout admin","A fazer","Jéssica Amorim","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Tarefa","SCRUM-23","Configurar envio de email e fluxo de reset (Breeze)","A fazer","Beatriz Fiochi","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Tarefa","SCRUM-23","Páginas 'esqueci-me da password' / 'definir nova password'","A fazer","Jéssica Amorim","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Tarefa","SCRUM-24","Endpoint + policy para admin criar/convidar outro admin","A fazer","Beatriz Fiochi","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Tarefa","SCRUM-24","Página 'Gestão de utilizadores' (listar / criar)","A fazer","Leida Dupret","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Tarefa","SCRUM-31","Design tokens (cores, tipografia, espaçamento) no Tailwind config","A fazer","Jéssica Amorim","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Tarefa","SCRUM-31","Layout base da área admin (sidebar, topo, navegação)","A fazer","Jéssica Amorim","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Tarefa","SCRUM-31","Layout base das páginas públicas (formulários)","A fazer","Leida Dupret","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Tarefa","SCRUM-31","Biblioteca de componentes (botão, input, select, modal, toast)","A fazer","Jéssica Amorim","SCRUM Sprint 2","2026/08/03","","2026/08/14","","purple","",""
"","Tarefa","SCRUM-10","Endpoint público de submissão (validação + upload de imagem)","A fazer","Beatriz Fiochi","SCRUM Sprint 3","2026/08/17","","2026/08/28","","purple","",""
"","Tarefa","SCRUM-10","Formulário público (título, descrição, imagem, categoria)","A fazer","Jéssica Amorim","SCRUM Sprint 3","2026/08/17","","2026/08/28","","purple","",""
"","Tarefa","SCRUM-47","Endpoint público de submissão (validação + upload de imagem)","A fazer","Leida Dupret","SCRUM Sprint 3","2026/08/17","","2026/08/28","","purple","",""
"","Tarefa","SCRUM-47","Formulário público (nome, email, título, descrição, imagem)","A fazer","Jéssica Amorim","SCRUM Sprint 3","2026/08/17","","2026/08/28","","purple","",""
"","Tarefa","SCRUM-53","Texto de consentimento + checkbox obrigatório nos dois formulários","A fazer","Jéssica Amorim","SCRUM Sprint 3","2026/08/17","","2026/08/28","","purple","",""
"","Tarefa","SCRUM-53","Registo do consentimento (data/hora) no backend","A fazer","Beatriz Fiochi","SCRUM Sprint 3","2026/08/17","","2026/08/28","","purple","",""
"","Tarefa","SCRUM-55","Honeypot field + rate limiting (throttle) nas rotas públicas","A fazer","Beatriz Fiochi","SCRUM Sprint 3","2026/08/17","","2026/08/28","","purple","",""
"","Tarefa","SCRUM-55","Integração de captcha (hCaptcha/reCAPTCHA) nos formulários","A fazer","Leida Dupret","SCRUM Sprint 3","2026/08/17","","2026/08/28","","purple","",""
"","Tarefa","SCRUM-17","Notification (email/in-app) ao admin quando chega notícia/testemunho","A fazer","Beatriz Fiochi","SCRUM Sprint 3","2026/08/17","","2026/08/28","","purple","",""
"","Tarefa","SCRUM-17","Indicador de 'novas submissões' no layout admin","A fazer","Luana Matos","SCRUM Sprint 3","2026/08/17","","2026/08/28","","purple","",""
"","Tarefa","SCRUM-51","CRUD de categorias (backend)","A fazer","Luana Matos","SCRUM Sprint 3","2026/08/17","","2026/08/28","","purple","",""
"","Tarefa","SCRUM-51","Página de gestão de categorias","A fazer","Leida Dupret","SCRUM Sprint 3","2026/08/17","","2026/08/28","","purple","",""
"","Tarefa","SCRUM-12","Endpoints approve/reject/update + Policy de administrador","A fazer","Beatriz Fiochi","SCRUM Sprint 4","2026/08/31","","2026/09/11","","purple","",""
"","Tarefa","SCRUM-12","Listagem + página de edição de notícia","A fazer","Jéssica Amorim","SCRUM Sprint 4","2026/08/31","","2026/09/11","","purple","",""
"","Tarefa","SCRUM-48","Endpoints approve/reject/update + Policy de administrador","A fazer","Luana Matos","SCRUM Sprint 4","2026/08/31","","2026/09/11","","purple","",""
"","Tarefa","SCRUM-48","Listagem + página de edição de testemunho","A fazer","Leida Dupret","SCRUM Sprint 4","2026/08/31","","2026/09/11","","purple","",""
"","Tarefa","SCRUM-13","Query scopes de filtro por intervalo de datas","A fazer","Beatriz Fiochi","SCRUM Sprint 4","2026/08/31","","2026/09/11","","purple","",""
"","Tarefa","SCRUM-13","Seletor de intervalo de datas na listagem","A fazer","Jéssica Amorim","SCRUM Sprint 4","2026/08/31","","2026/09/11","","purple","",""
"","Tarefa","SCRUM-19","Endpoint para associar categoria à notícia","A fazer","Luana Matos","SCRUM Sprint 4","2026/08/31","","2026/09/11","","purple","",""
"","Tarefa","SCRUM-19","Select de categoria na listagem/edição","A fazer","Jéssica Amorim","SCRUM Sprint 4","2026/08/31","","2026/09/11","","purple","",""
"","Tarefa","SCRUM-49","Endpoint para associar categoria ao testemunho","A fazer","Beatriz Fiochi","SCRUM Sprint 4","2026/08/31","","2026/09/11","","purple","",""
"","Tarefa","SCRUM-49","Select de categoria na listagem/edição de testemunhos","A fazer","Leida Dupret","SCRUM Sprint 4","2026/08/31","","2026/09/11","","purple","",""
"","Tarefa","SCRUM-56","CRUD de edição (título, período, estado rascunho)","A fazer","Beatriz Fiochi","SCRUM Sprint 5","2026/09/14","","2026/09/25","","purple","",""
"","Tarefa","SCRUM-56","Página 'Nova edição' e listagem de edições","A fazer","Jéssica Amorim","SCRUM Sprint 5","2026/09/14","","2026/09/25","","purple","",""
"","Tarefa","SCRUM-14","Endpoint associar/desassociar notícias (pivot News_Newsletter)","A fazer","Luana Matos","SCRUM Sprint 5","2026/09/14","","2026/09/25","","purple","",""
"","Tarefa","SCRUM-14","UI de seleção de notícias (checklist por categoria)","A fazer","Leida Dupret","SCRUM Sprint 5","2026/09/14","","2026/09/25","","purple","",""
"","Tarefa","SCRUM-50","Endpoint associar/desassociar testemunhos (pivot Testimonial_Newsletter)","A fazer","Luana Matos","SCRUM Sprint 5","2026/09/14","","2026/09/25","","purple","",""
"","Tarefa","SCRUM-50","UI de seleção de testemunhos","A fazer","Leida Dupret","SCRUM Sprint 5","2026/09/14","","2026/09/25","","purple","",""
"","Tarefa","SCRUM-15","Endpoint que monta os dados completos da edição para preview","A fazer","Beatriz Fiochi","SCRUM Sprint 5","2026/09/14","","2026/09/25","","purple","",""
"","Tarefa","SCRUM-15","Template de pré-visualização fiel ao layout final","A fazer","Jéssica Amorim","SCRUM Sprint 5","2026/09/14","","2026/09/25","","purple","",""
"","Tarefa","SCRUM-15","Guardar edição como rascunho (status draft)","A fazer","Beatriz Fiochi","SCRUM Sprint 5","2026/09/14","","2026/09/25","","purple","",""
"","Tarefa","SCRUM-16","Geração de PDF a partir do template (dompdf / browsershot)","A fazer","Beatriz Fiochi","SCRUM Sprint 6","2026/09/28","","2026/10/09","","purple","",""
"","Tarefa","SCRUM-16","Botão de download + marcar edição como 'final / publicada'","A fazer","Jéssica Amorim","SCRUM Sprint 6","2026/09/28","","2026/10/09","","purple","",""
"","Tarefa","SCRUM-21","Endpoint de listagem de edições publicadas + reexportação","A fazer","Beatriz Fiochi","SCRUM Sprint 6","2026/09/28","","2026/10/09","","purple","",""
"","Tarefa","SCRUM-21","Página 'Arquivo' com listagem e download","A fazer","Luana Matos","SCRUM Sprint 6","2026/09/28","","2026/10/09","","purple","",""
"","Tarefa","SCRUM-54","Ambiente de produção (hosting + variáveis de .env)","A fazer","Beatriz Fiochi","SCRUM Sprint 6","2026/09/28","","2026/10/09","","purple","",""
"","Tarefa","SCRUM-54","Storage de imagens em produção (disco local / S3)","A fazer","Luana Matos","SCRUM Sprint 6","2026/09/28","","2026/10/09","","purple","",""
"","Tarefa","SCRUM-54","Pipeline simples de deploy","A fazer","Leida Dupret","SCRUM Sprint 6","2026/09/28","","2026/10/09","","purple","",""
"","Tarefa","SCRUM-54","Testes finais ponta-a-ponta e correção de bugs","A fazer","","SCRUM Sprint 6","2026/09/28","","2026/10/09","","purple","",""
"","Tarefa","","Migration + Model: Course (título, url, imagem, localização, horário, data de início, preço, estado)","A fazer","Luana Matos","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CURSOS-A"
"","Tarefa","","Migration pivot: Newsletter_Course","A fazer","Luana Matos","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CURSOS-A"
"","Tarefa","","Serviço de integração HTTP com a API externa + mapeamento de campos","A fazer","Beatriz Fiochi","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CURSOS-A"
"","Tarefa","","Job agendado (scheduler) para sincronização periódica","A fazer","Beatriz Fiochi","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CURSOS-A"
"","Tarefa","","Tratamento de falhas/timeouts e logging da sincronização","A fazer","Beatriz Fiochi","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CURSOS-A"
"","Tarefa","","Endpoint associar/desassociar cursos à edição (pivot Newsletter_Course)","A fazer","Luana Matos","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CURSOS-B"
"","Tarefa","","UI de seleção de cursos (imagem, localização, preço)","A fazer","Leida Dupret","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CURSOS-B"
"","Tarefa","","Incluir bloco de cursos no template de pré-visualização/PDF","A fazer","Jéssica Amorim","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CURSOS-B"
"","Tarefa","","Endpoint com data/hora e resultado da última sincronização","A fazer","Beatriz Fiochi","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CURSOS-C"
"","Tarefa","","Painel na área admin com estado da sincronização + botão 'sincronizar agora'","A fazer","Jéssica Amorim","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CURSOS-C"
"","Tarefa","","Migration + Model: Calendar (data, título)","A fazer","Luana Matos","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CAL-D"
"","Tarefa","","Migration pivot: Newsletter_Calendar","A fazer","Luana Matos","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CAL-D"
"","Tarefa","","Endpoints CRUD de eventos (admin)","A fazer","Beatriz Fiochi","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CAL-D"
"","Tarefa","","Página de gestão de eventos (criar / editar / listar)","A fazer","Leida Dupret","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CAL-D"
"","Tarefa","","Endpoint associar/desassociar eventos à edição (pivot Newsletter_Calendar)","A fazer","Luana Matos","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CAL-E"
"","Tarefa","","UI de seleção de eventos de calendário","A fazer","Leida Dupret","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CAL-E"
"","Tarefa","","Incluir bloco de calendário no template de pré-visualização/PDF","A fazer","Jéssica Amorim","SCRUM Sprint 7","2026/10/12","","2026/10/23","","purple","","HIST-CAL-E"
